1.0000E-03,1.6739E-24,0.0000E+00
1.0397E-03,1.6739E-24,0.0000E+00
1.0795E-03,1.6739E-24,0.0000E+00
1.0795E-03,1.6739E-24,0.0000E+00
1.1193E-03,1.6739E-24,0.0000E+00
1.1590E-03,1.6739E-24,0.0000E+00
1.1590E-03,1.6739E-24,0.0000E+00
1.1988E-03,1.6739E-24,0.0000E+00
1.2385E-03,1.6739E-24,0.0000E+00
1.2385E-03,1.6739E-24,0.0000E+00
1.2783E-03,1.6739E-24,0.0000E+00
1.3180E-03,1.6739E-24,0.0000E+00
1.3180E-03,1.6739E-24,0.0000E+00
1.3578E-03,1.6739E-24,0.0000E+00
1.3975E-03,1.6739E-24,0.0000E+00
1.3975E-03,1.6739E-24,0.0000E+00
1.4373E-03,1.6739E-24,0.0000E+00
1.4770E-03,1.6739E-24,0.0000E+00
1.4770E-03,1.6739E-24,0.0000E+00
1.5168E-03,1.6739E-24,0.0000E+00
1.5565E-03,1.6739E-24,0.0000E+00
1.5565E-03,1.6739E-24,0.0000E+00
1.5963E-03,1.6739E-24,0.0000E+00
1.6360E-03,1.6739E-24,0.0000E+00
1.6360E-03,1.6739E-24,0.0000E+00
1.6758E-03,1.6739E-24,0.0000E+00
1.7155E-03,1.6739E-24,0.0000E+00
1.7155E-03,1.6739E-24,0.0000E+00
1.7553E-03,1.6739E-24,0.0000E+00
1.7950E-03,1.6739E-24,0.0000E+00
1.7950E-03,1.6739E-24,0.0000E+00
1.8348E-03,1.6739E-24,0.0000E+00
1.8745E-03,1.6739E-24,0.0000E+00
1.8745E-03,1.6739E-24,0.0000E+00
1.9143E-03,1.6739E-24,0.0000E+00
1.9540E-03,1.6739E-24,0.0000E+00
1.9540E-03,1.6739E-24,0.0000E+00
1.9937E-03,1.6739E-24,0.0000E+00
2.0335E-03,1.6739E-24,0.0000E+00
2.0335E-03,1.6739E-24,0.0000E+00
2.0733E-03,1.6739E-24,0.0000E+00
2.1130E-03,1.6739E-24,0.0000E+00
2.1130E-03,1.6739E-24,0.0000E+00
2.1528E-03,1.6739E-24,0.0000E+00
2.1925E-03,1.6739E-24,0.0000E+00
2.1925E-03,1.6739E-24,0.0000E+00
2.2322E-03,1.6739E-24,0.0000E+00
2.2720E-03,1.6739E-24,0.0000E+00
2.2720E-03,1.6739E-24,0.0000E+00
2.3118E-03,1.6739E-24,0.0000E+00
2.3515E-03,1.6739E-24,0.0000E+00
2.3515E-03,1.6739E-24,0.0000E+00
2.3913E-03,1.6739E-24,0.0000E+00
2.4310E-03,1.6739E-24,0.0000E+00
2.4310E-03,1.6739E-24,0.0000E+00
2.4707E-03,1.6739E-24,0.0000E+00
2.5105E-03,1.6739E-24,0.0000E+00
2.5105E-03,1.6739E-24,0.0000E+00
2.5502E-03,1.6739E-24,0.0000E+00
2.5900E-03,1.6739E-24,0.0000E+00
2.5900E-03,1.6739E-24,0.0000E+00
2.6298E-03,1.6739E-24,0.0000E+00
2.6695E-03,1.6739E-24,0.0000E+00
2.6695E-03,1.6739E-24,0.0000E+00
2.7092E-03,1.6739E-24,0.0000E+00
2.7490E-03,1.6739E-24,0.0000E+00
2.7490E-03,1.6739E-24,0.0000E+00
2.7888E-03,1.6739E-24,0.0000E+00
2.8285E-03,1.6739E-24,0.0000E+00
2.8285E-03,1.6739E-24,0.0000E+00
